OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
19783,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Alpine Villa,308 Summit Ave E,98102.0,3.0,EAST,47.62127,-122.32509,1967,5,1.0,23231,0,0.0,95.0,26.4,26.2,83.0,82.3,582444,577996,0,582444,170704,0,0,2.41,0.104
19787,2017,NonResidential,Worship Facility,First Lutheran Church of West Seattle,4105 California Ave SW,98116.0,1.0,SOUTHWEST,47.56633,-122.38725,1949,2,1.0,21364,0,0.0,85.0,50.6,50.1,67.1,66.5,1081769,1071227,0,142024,41625,9397,939745,50.5,2.364
19788,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Alterra COA,1000 Aurora Ave N,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.62774,-122.34319,1999,6,1.0,208125,0,0.0,,44.3,43.4,55.3,54.4,3855956,3774525,0,366635,107454,34893,3489321,186.83,0.898
19789,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Ambassador 1 Condominiums,505 E. Denny Way,98122.0,3.0,EAST,47.61834,-122.32492,1923,6,1.0,39251,0,0.0,79.0,35.5,34.8,108.4,106.0,1197522,1171989,0,1146593,336047,509,50929,7.45,0.19
19790,2017,Multifamily MR (5-9),Mid-Rise Multifamily,AMBASSADOR,506 E HOWELL ST,98122.0,3.0,EAST,47.61803,-122.32482,1992,5,1.0,44715,0,0.0,83.0,42.3,41.6,110.4,108.7,1891665,1860600,0,1411185,413594,4804,480479,31.36,0.701
19792,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Anderson Place,619 5th Ave West,98119.0,7.0,MAGNOLIA / QUEEN ANNE,47.62528,-122.36366,1990,5,1.0,21715,0,0.0,,25.5,24.9,72.8,71.1,553747,540222,0,478697,140298,750,75050,5.97,0.275
19793,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Union Bay Apartments,526 Yale Avenue N,98109.0,7.0,LAKE UNION,47.62406,-122.33027,1994,7,1.0,86525,23866,0.0,96.0,35.7,35.3,90.5,90.1,2234542,2211150,0,1590247,466074,6442,644295,40.8,0.472
19794,2017,Multifamily LR (1-4),Low-Rise Multifamily,Carolina Court Apartments,527 Eastlake Ave E,98109.0,7.0,LAKE UNION,47.62402,-122.32972,1916,3,1.0,56652,0,0.0,99.0,31.5,30.4,58.5,57.3,1781866,1721389,0,689401,202052,10924,1092465,60.87,1.075
19797,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Andiamo Condominiums,626 4th Ave W,98119.0,7.0,MAGNOLIA / QUEEN ANNE,47.62548,-122.36166,1996,5,1.0,20798,0,0.0,70.0,30.2,30.2,94.9,95.0,628903,629044,0,628903,184321,0,0,2.6,0.125
19799,2017,Multifamily LR (1-4),Low-Rise Multifamily,Annaron,1719 14th Ave,98122.0,3.0,EAST,47.6172,-122.31456,1965,3,1.0,20296,0,0.0,71.0,30.1,29.5,94.4,92.5,587632,575677,0,587632,172225,0,0,2.43,0.12
19808,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Arcadian Court Condominium,511 E Roy Street,98102.0,3.0,EAST,47.62483,-122.32508,1980,5,1.0,48744,0,0.0,39.0,35.8,35.1,112.4,110.4,1744621,1713093,0,1744621,511319,0,0,7.22,0.148
19824,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Art Stable,518 Yale Ave N,98109.0,7.0,LAKE UNION,47.6237,-122.33014,2010,5,1.0,23931,0,0.0,,31.1,30.6,78.9,78.4,687908,676133,0,488530,143180,1993,199377,12.61,0.527
19826,2017,Multifamily LR (1-4),Low-Rise Multifamily,Ashbury,18 Dravus St,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.64898,-122.35675,1999,4,1.0,39966,0,0.0,,23.6,23.3,74.2,73.1,863929,851107,0,862665,252832,12,1264,3.64,0.091
19830,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Athena,323 Queen Anne Ave N,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.62181,-122.35701,1999,7,1.0,72763,0,0.0,,38.1,38.0,105.0,104.8,2774159,2762005,0,2261163,662709,5129,512996,36.6,0.503
19831,2017,Multifamily LR (1-4),Low-Rise Multifamily,Atlantic Place Condominium,1111 S Atlantic St,98134.0,2.0,GREATER DUWAMISH,47.58963,-122.31864,1980,4,1.0,59600,0,0.0,47.0,26.5,25.9,83.2,81.4,1578419,1545187,0,1578419,462608,0,0,6.53,0.11
19832,2017,Multifamily LR (1-4),Low-Rise Multifamily,Atria Villa Apartments,1251 Taylor Ave N,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.63099,-122.34658,1978,4,1.0,40948,0,0.0,89.0,22.6,22.3,70.8,70.1,725743,717818,0,725742,212703,0,0,3.0,0.073
19833,2017,NonResidential,University,Centennial Building,2000 Terry Avenue,98121.0,7.0,DOWNTOWN,47.61741,-122.33491,1992,2,1.0,28923,0,0.0,,20.7,20.0,37.5,36.8,595891,576309,0,217094,63626,3787,378796,21.02,0.727
